[2025-03-21 10:10:26] INFO:src.trade:load config = None
[2025-03-21 10:12:03] INFO:src.trade:load config = None
[2025-03-21 10:20:46] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:20:49] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:20:52] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:20:55] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:20:58] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:21:01] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:21:04] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:21:07] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:21:10] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:21:13] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:21:16] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:21:19] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:21:22] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:21:25] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:21:28] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:21:31] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:21:34] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:21:37] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:21:40] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:21:43] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:21:46] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:21:49] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:21:52] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:21:55] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:21:58] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:22:01] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:22:04] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:22:07] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:22:10] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:22:13] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:22:16] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:22:19] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:22:22] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:22:25] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:22:28] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:22:31] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:22:34] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:22:37] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:22:40] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:22:43] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:22:46] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:22:49] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:22:52] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:22:55] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:22:58] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:23:01] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:23:04] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:23:07] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:23:10] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:23:13] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:23:16] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:23:19] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:23:22] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:23:25] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:23:28] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:23:31] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:23:34] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:23:37] INFO:src.trade:load config = None
[2025-03-21 10:23:37] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:23:40] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:23:43] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:23:46] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:23:49] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:23:52] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:23:55] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:23:58] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:24:00] INFO:src.trade:load config = None
[2025-03-21 10:24:01] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:24:04] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:24:07] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:24:10] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:24:13] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:24:16] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:24:19] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:24:22] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:24:25] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:24:28] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:24:31] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:24:34] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:24:37] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:24:40] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:24:43] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:24:46] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:24:49] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:24:52] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:24:55] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:24:58] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:25:01] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:25:04] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:25:07] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:25:10] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:25:13] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:25:16] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:25:19] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:25:22] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:25:25] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:25:28] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:25:31] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:25:34] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:25:37] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:25:40] INFO:src.trade:load config = None
[2025-03-21 10:25:40] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:25:43] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:25:46] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:25:49] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:25:52] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:25:55] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:25:58] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:26:01] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:26:04] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:26:07] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:26:10] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:26:13] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:26:16] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:26:19] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:26:22] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:26:25] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:26:28] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:26:31] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:26:34] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:26:37] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:26:40] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:26:43] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:26:46] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:26:49] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:26:52] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:26:55] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:26:58] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:27:01] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:27:04] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:27:07] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:27:10] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:27:13] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:27:16] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:27:19] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:27:22] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:27:25] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:27:28] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:27:31] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:27:34] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:27:37] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:27:40] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:27:43] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:27:46] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:27:49] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:27:52] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:27:55] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:27:58] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:28:01] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:28:04] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:28:07] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:28:10] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:28:13] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:28:16] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:28:19] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:28:22] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:28:25] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:28:28] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:28:31] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:28:34] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:28:37] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:28:40] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:28:43] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:28:46] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:28:49] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:28:52] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:28:55] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:28:58] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:29:01] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:29:04] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:29:07] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:29:10] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:29:13] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:29:16] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:29:19] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:29:22] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:29:24] INFO:src.trade:load config = None
[2025-03-21 10:29:25] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:29:28] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:29:31] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:29:34] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:29:37] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:29:40] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:29:43] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:29:46] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:29:49] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:29:52] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:29:54] INFO:src.trade:load config = None
[2025-03-21 10:29:55] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:29:58] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:30:01] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:30:04] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:30:07] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:30:10] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:30:14] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:30:17] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:30:20] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:30:23] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:30:26] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:30:29] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:30:32] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:30:35] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:30:38] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:30:41] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:30:44] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:30:47] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:30:50] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:30:53] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:30:56] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:30:59] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:31:02] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:31:05] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:31:08] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:31:11] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:31:14] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:31:17] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:31:20] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:31:23] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:31:26] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:31:29] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:31:32] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:31:35] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:31:38] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:31:41] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:31:44] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:31:47] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:31:50] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:31:53] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:31:56] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:31:59] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:32:02] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:32:05] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:32:08] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:32:11] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:32:14] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:32:17] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:32:20] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:32:23] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:32:26] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:32:27] INFO:src.trade:load config = None
[2025-03-21 10:32:29] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:32:32] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:32:35] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:32:38] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:32:41] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:32:44] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:32:47] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:32:50] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:32:53] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:32:56] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:32:59] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:33:02] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:33:05] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:33:08] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:33:11] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:33:14] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:33:17] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:33:20] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:33:23] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:33:26] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:33:29] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:33:32] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:33:35] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:33:38] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:33:41] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:33:44] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:33:47] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:33:50] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:33:53] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:33:56] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:33:59] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:34:02] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:34:05] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:34:08] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:34:11] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:34:14] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:34:17] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:34:18] INFO:src.trade:load config = {'_id': ObjectId('6732b7efaa8c35169f8cd44b'), 'maxBuyNum': 3.0, 'curBuyNum': 0, 'monitor_concept': [], 'userId': ObjectId('5d905db9fc84d3224b0eb59c'), 'cookie': 'NEXT_LOCALE=zh;smidV2=202501241650240dce9781d493cafccfe6a7714efc7066002b758506bb44a60;intercom-device-id-guh50jw4=4ef412cd-f329-41ad-a57b-42a1910f2a2e;Hm_lvt_1fff341d7a963a4043e858ef0e19a17c=1738887256;.thumbcache_6b2e5483f9d858d7c661c5e276b6a6ae=IAeP27uh/FnsMeVqeavCkxy3eWZygHep6TLbkl7/tpaAB6c0JeADE3PhhBNt0XrmIPSiIcPoOW7og75vI26Wfw%3D%3D;.thumbcache_6b2e5483f9d858d7c661c5e276b6a6ae=N8YIgtOhmo7A9v8rfFmDu3JLr3aRkccZAh+gn+kGqUT7M/I+C+gX88Ej05Ww5wvEBOgonX2Cizya1qWakjssvg%3D%3D;Hm_lvt_c80f6431999d81e59998863bf9b335cc=1739340727,1739950980;HWWAFSESTIME=1740548613281;HWWAFSESID=f0ef79775070958753;Hm_lvt_fb5acee01d9182aabb2b61eb816d24ff=1739751110,1739839931,1739859966,1740548618;HMACCOUNT=D8F29A437A6D6487;HWWAFSESID=50556126a942f0bbb46d;HWWAFSESTIME=1740548617222;ds_session_id=01caf2ee7adf4242a3382468901a3aa1;Hm_lpvt_fb5acee01d9182aabb2b61eb816d24ff=1740624919;intercom-session-guh50jw4=TlZBbURGNzF0dGVXZlAzVEdORXdjWUJZa0xVZlFXQkRNQjJrYTdsK0ZBQkZaSHZLZ2hqcGQzYmpLTm41aGZMUHMyMFhnemY2a3dia3hmaFNsd2o2VVk2dmFuOXplSnE1RFhWY1BhbzR0Vlk9LS1Xc3RJUktwOXFheE9yMmlmVGQ1NmRBPT0=--8e928e4a45fb00b296b1126337df240e1617c505', 'validatekey': '123'}
[2025-03-21 10:34:20] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:34:23] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:34:26] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:34:29] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:34:32] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:34:35] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:34:38] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:34:41] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:34:44] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:34:47] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:34:50] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:34:53] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:34:56] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:34:59] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:35:02] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:35:05] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:35:08] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:35:11] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:35:14] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:35:17] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:35:20] ERROR:__main__:name 'trade' is not defined
